Nome: SAO CARLOS
Codigo Estacao: A711
Latitude: -21.98027777
Longitude: -47.88388888
Altitude: 859.29
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2026-09-10
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2015-01-01;0000;0;918.8;1014.5;918.8;918;-3.5;26;23.9;19.4;23.9;23.1;20.5;19.3;12.6;84;75;76;33;1.9;.9;
2015-01-01;0100;0;918.8;1014.4;918.9;918.8;-3.4;25;24;18.1;24.2;23.1;19.1;18;12.6;76;69;70;48;3;1.1;
2015-01-01;0200;0;918.9;1015.1;919;918.8;-3.5;25;22.4;18.2;24.3;22.4;18.5;17.4;12.6;77;65;77;74;2.6;0;
2015-01-01;0300;0;918.4;1014.2;918.9;918.4;-3.4;24;23.3;18.9;23.6;22.4;19.1;18.4;12.5;80;76;77;47;2.5;1.2;
2015-01-01;0400;0;917.9;1014.1;918.4;917.9;-3.5;24;22;19.1;23.3;22;19.3;18.9;12.5;84;77;84;316;2.6;0;
2015-01-01;0500;0;917.3;1013.7;917.9;917.3;-3.5;24;21.3;19.3;22.2;21.3;19.3;19.1;12.5;89;83;89;116;1.1;0;
2015-01-01;0600;0;917;1013.5;917.3;917;-3.5;23;20.8;19.1;21.3;20.8;19.4;19;12.5;90;89;90;58;1.1;.5;
2015-01-01;0700;0;917.1;1013.7;917.2;917;-3.5;23;20.5;18.4;22.1;20.5;20.1;18.4;12.5;90;86;88;133;2.2;.1;
2015-01-01;0800;0;917.8;1014.6;917.8;917.1;-3.5;22;20.4;19;20.5;20.2;19.1;18.4;12.4;92;88;92;80;1.6;.4;
2015-01-01;0900;0;918.1;1015;918.1;917.8;17.2;22;20.1;19;20.5;19.9;19.2;18.7;12.4;93;92;93;72;1.5;.2;
