Nome: OURINHOS
Codigo Estacao: A716
Latitude: -23.00055555
Longitude: -49.84333333
Altitude: 500
Situacao: Pane
Data Inicial: 2015-01-01
Data Final: 2026-09-10
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2015-01-01;0000;0;960.9;1017.7;961;960.7;-3.5;27;25.3;22.1;25.5;25.3;22.4;21.9;12.3;83;81;83;68;0;0;
2015-01-01;0100;0;961.7;1018.6;961.7;960.8;-3.5;26;24.9;22.3;25.4;24.9;22.7;22.1;12.3;86;83;86;56;1.3;0;
2015-01-01;0200;0;961.7;1018.7;962.1;961.7;-4;26;24.4;22.3;24.8;24.3;22.5;22.2;12.2;89;86;88;45;1.3;0;
2015-01-01;0300;0;961.6;1018.7;961.8;961.6;-3.5;25;24;22.2;24.4;23.9;22.3;22.1;12.2;90;88;90;170;1.6;0;
2015-01-01;0400;0;960.9;1018;961.6;960.9;-3.5;25;23.6;22.1;24;23.6;22.3;22;12.2;92;89;92;150;1.4;0;
2015-01-01;0500;0;960.5;1017.7;960.9;960.5;-3.5;24;23.3;21.8;23.6;23.3;22.1;21.8;12.2;92;91;91;228;0;0;
2015-01-01;0600;0;960.3;1017.5;960.5;960.2;-3.3;24;23.1;21.7;23.4;23;22;21.6;12.2;92;91;92;77;1.5;0;
2015-01-01;0700;0;960.6;1017.9;960.6;960.3;-3.2;24;22.7;21.5;23.1;22.7;21.7;21.4;12.2;93;92;93;94;.9;0;
2015-01-01;0800;0;960.9;1018.3;961;960.6;-3.5;23;22.4;21.2;22.7;22.4;21.5;21.2;12.2;93;92;93;64;1.5;0;
2015-01-01;0900;0;961.1;1018.5;961.2;960.8;15.5;23;22.3;21.1;22.4;22.1;21.2;20.9;12.2;93;92;93;148;1.7;.1;
2015-01-01;1000;0;961.8;1019;961.8;961.1;254.5;23;23.6;21.5;23.6;22.3;21.6;21;12.2;93;88;88;22;1.7;.1;
2015-01-01;1100;0;962.4;1019.2;962.4;961.8;1226.7;26;26;21.8;26;23.5;22;20.9;12.7;88;77;78;52;2.2;.4;
2015-01-01;1200;0;962.7;1018.9;962.7;962.4;2034.2;29;28.9;23.2;28.9;26;23.6;21.6;13;79;71;71;38;2.5;.9;
2015-01-01;1300;0;962.4;1018.3;962.7;962.4;2677.4;31;30.6;22.7;30.7;28.7;23.8;22.1;13;73;62;62;303;4.6;1.3;
2015-01-01;1400;0;961.9;1017.5;962.5;961.9;3319.2;33;32.1;23.1;32.4;30.2;23.8;21.5;13.2;66;56;59;358;8.5;2.2;
2015-01-01;1500;1;961.5;1017.3;961.9;961.5;2530.2;34;30.8;23.7;32.6;28.4;25.1;21;13.1;76;51;66;334;9.5;1.4;
2015-01-01;1600;0;960.8;1016.3;961.5;960.8;3343.3;34;32.2;21.1;32.6;30.8;24.2;19.8;13.5;67;49;52;306;7;2.6;
2015-01-01;1700;0;959.6;1014.8;960.8;959.6;3280.7;35;33.1;20;34.1;32.1;22.2;20;13.2;56;45;46;307;7.6;2.3;
2015-01-01;1800;0;958.8;1013.9;959.7;958.7;3449.1;36;33.7;21;33.9;32.9;21.5;19.6;13.5;49;44;47;298;7.8;2;
2015-01-01;1900;0;958.5;1013.7;958.8;958.4;1501;36;32.8;20.5;33.9;31.5;21.2;19.3;13.2;52;42;49;301;7.1;1.6;
