Nome: BARRA BONITA
Codigo Estacao: A741
Latitude: -22.4711111
Longitude: -48.5575
Altitude: 533.68
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2026-09-10
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2015-01-01;0000;0;952.1;1012.1;952.1;951.6;-3.5;29;26.2;20.2;26.4;26.1;20.3;19.4;12.4;70;65;70;356;4;1.9;
2015-01-01;0100;0;952.5;1012.7;952.5;952.1;-3.5;29;25.3;20.3;26.2;25.3;20.5;20.2;12.4;74;70;74;356;4.4;.8;
2015-01-01;0200;0;952.8;1013;952.9;952.5;-3.5;28;25.2;20.2;25.4;25.1;20.3;20.1;12.4;74;73;74;339;3.5;1.5;
2015-01-01;0300;0;952.4;1012.6;952.8;952.4;-3.5;27;25.2;20;25.6;25.2;20.2;20;12.3;74;72;73;354;4.4;.8;
2015-01-01;0400;0;951.7;1012;952.4;951.6;-3.5;27;24.7;19.9;25.2;24.5;20.1;19.9;12.3;76;73;75;342;3.4;.4;
2015-01-01;0500;0;951.1;1011.5;951.7;951.1;-3.5;26;24.1;19.7;24.8;24.1;20;19.7;12.3;77;74;76;35;2.4;.6;
2015-01-01;0600;0;950.8;1011.2;951.1;950.7;-3.5;26;24;20;24.2;23.4;20.1;19.7;12.3;80;76;79;299;2.4;.1;
2015-01-01;0700;0;951.1;1011.6;951.2;950.8;-3.5;25;23.3;20;24.1;23;20.1;19.7;12.3;82;77;81;75;1.7;.1;
2015-01-01;0800;0;951.5;1012.2;951.5;951.1;-3.5;25;22.5;20.1;23.3;22.5;20.4;19.9;12.3;86;81;86;92;2;0;
2015-01-01;0900;0;951.9;1012.6;951.9;951.4;17.6;24;22.6;20.5;22.6;22.2;20.5;20.1;12.2;88;86;88;344;1.6;.1;
