arquivo;estacao;nome;latitude;longitude;altitude;situacao;data_inicial;data_final;periodicidade;qtd_registros;encoding;linha_cabecalho;status
dados_A701_H_2015-01-01_2026-09-10.csv;A701;SAO PAULO - MIRANTE;-23.4962888;-46.6200666;785.64;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A705_H_2015-01-01_2026-09-10.csv;A705;BAURU;-22.35805555;-49.02888888;636.17;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A706_H_2015-01-01_2026-09-10.csv;A706;CAMPOS DO JORDAO;-22.75027777;-45.60388888;1662.95;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A707_H_2015-01-01_2026-09-10.csv;A707;PRESIDENTE PRUDENTE;-22.11999999;-51.40861111;431.92;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A708_H_2015-01-01_2026-09-10.csv;A708;FRANCA;-20.58444444;-47.38249999;1002.74;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A711_H_2015-01-01_2026-09-10.csv;A711;SAO CARLOS;-21.98027777;-47.88388888;859.29;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A712_H_2015-01-01_2026-09-10.csv;A712;IGUAPE;-24.67166666;-47.54583333;2.7;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A713_H_2015-01-01_2026-09-10.csv;A713;IPERO;-23.4261111;-47.58555555;609.33;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A714_H_2015-01-01_2026-09-10.csv;A714;ITAPEVA;-23.98194443;-48.88583333;743.33;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A715_H_2015-01-01_2026-09-10.csv;A715;SAO MIGUEL ARCANJO;-23.89083333;-47.99916666;710;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A716_H_2015-01-01_2026-09-10.csv;A716;OURINHOS;-23.00055555;-49.84333333;500;Pane;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A718_H_2015-01-01_2026-09-10.csv;A718;RANCHARIA;-22.37277777;-50.97472221;398.75;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A725_H_2015-01-01_2026-09-10.csv;A725;AVARE;-23.10166666;-48.9411111;776.36;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A726_H_2015-01-01_2026-09-10.csv;A726;PIRACICABA;-22.70305555;-47.62333332;566.46;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A727_H_2015-01-01_2026-09-10.csv;A727;LINS;-21.66611111;-49.73472221;460.65;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A728_H_2015-01-01_2026-09-10.csv;A728;TAUBATE;-23.04166666;-45.52083332;582.26;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A729_H_2015-01-01_2022-09-29.csv;A729;VOTUPORANGA;-20.40333333;-49.96611111;510.37;Desativada;2015-01-01;2022-09-29;Horaria;67897;utf-8;10;OK
dados_A733_H_2015-01-01_2026-09-10.csv;A733;JALES;-20.165;-50.59499999;460.44;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A734_H_2015-01-01_2026-09-10.csv;A734;VALPARAISO;-21.31916666;-50.93027777;381.9;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A735_H_2015-01-01_2026-09-10.csv;A735;JOSE BONIFACIO;-21.08555555;-49.92027777;408.35;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A736_H_2015-01-01_2026-09-10.csv;A736;ARIRANHA;-21.13305554;-48.84055555;525.44;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A737_H_2015-01-01_2026-09-10.csv;A737;IBITINGA;-21.85555555;-48.79972221;496.75;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A738_H_2015-01-01_2026-09-10.csv;A738;CASA BRANCA;-21.78055554;-47.07527777;734.15;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A739_H_2015-01-01_2026-09-10.csv;A739;ITAPIRA;-22.415;-46.80527777;634.89;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A740_H_2015-01-01_2026-09-10.csv;A740;SAO LUIZ DO PARAITINGA;-23.22833332;-45.41694443;874;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A741_H_2015-01-01_2026-09-10.csv;A741;BARRA BONITA;-22.4711111;-48.5575;533.68;Operante;2015-01-01;2026-09-10;Horaria;102505;utf-8;10;OK
dados_A744_H_2017-12-19_2026-09-10.csv;A744;BRAGANCA PAULISTA;-22.94916666;-46.5261111;891;Operante;2017-12-19;2026-09-10;Horaria;76513;utf-8;10;OK
