segmento_id,rodovia,score_risco,nivel_risco,hora_referencia,horizonte_horas
SP330_SEG067,SP-330,0.45390964,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG068,SP-330,0.45390964,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG087,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG088,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG079,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG080,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG081,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG082,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG086,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG085,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG076,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG075,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG074,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG073,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG072,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG071,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG078,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG077,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG070,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG069,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG083,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP330_SEG084,SP-330,0.45007926,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG083,SP-300,0.44674003,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG084,SP-300,0.44674003,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG082,SP-300,0.44674003,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG081,SP-300,0.44674003,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG086,SP-300,0.44674003,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG085,SP-300,0.44674003,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG080,SP-300,0.44674003,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG079,SP-300,0.44674003,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG073,SP-300,0.44610298,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG074,SP-300,0.44610298,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG069,SP-300,0.44610298,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG070,SP-300,0.44610298,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG075,SP-300,0.44610298,MUITO ELEVADO,2025-05-25 14:00:00,4
SP300_SEG078,SP-300,0.44610298,MUITO ELEVADO,2025-05-25 14:00:00,4
